UPC,Description,Size,Category,Big_Pack_UPC,Pre_Total_Sales,Pre_Total_Units,Pre_Total_Visits,Pre_Total_HHs,Pre_HH_Pen,Pre_Spend_per_HH,Pre_Visits_per_HH,Pre_Spend_per_Visit,Pre_Units_per_Visit,Pre_Spend_per_Unit,Pre_Repeat_HHs,Pre_Repeat_Rate,Covid_Total_Sales,Covid_Total_Units,Covid_Total_Visits,Covid_Total_HHs,Covid_HH_Pen,Covid_Spend_per_HH,Covid_Visits_per_HH,Covid_Spend_per_Visit,Covid_Units_per_Visit,Covid_Spend_per_Unit,Covid_Repeat_HHs,Covid_Repeat_Rate,Pre_Loyal_Sales,Pre_Price_Sens_Sales,Covid_Loyal_Sales,Covid_Price_Sens_Sales,Pre_Ecomm_Sales,Pre_Ecomm_HHs,Pre_Ecomm_Visits,Pre_Ecomm_Units,Covid_Ecomm_Sales,Covid_Ecomm_HHs,Covid_Ecomm_Visits,Covid_Ecomm_Units
0001111008067,ST SHRMP XL CKD TAIL ON,16 OZ,SEAFOOD - SHRIMP,N,2069344.8199986394,187168,163820,128599,0.7083779286229324,16.091453432753283,1.2738823785565985,12.631820412639723,1.1425222805518251,11.05608234312831,18365,14.280826444995684,2696802.560003529,218035,190016,143726,0.7850179472779661,18.763498323222862,1.3220711631855058,14.192502526121636,1.1474560037049513,12.368668149625192,22281,15.5024143161293,1338245.7599999881,315020.9400000001,1640367.6599999839,343600.0900000001,115849.59,6304,9120,10585,312956.32000000024,14994,22010,25590
0003600047622,CTNL CLN CARE DOUBLE ROLL,12 ROLLS,BATH TISSUE,N,"","","","","","","","","","","","",1358984.709998584,187812,179196,150792,0.8236117773119621,9.012313053733513,1.1883654305268183,7.583789314485725,1.048081430389071,7.235877952412966,19310,12.805719136293703,"","",870530.3099999916,361421.1200000006,"","","","",184327.21000000028,18975,22916,26004
0001111008068,ST SHRMP JUMBO RAW PD,16 OZ,SEAFOOD - SHRIMP,N,4134098.12001243,337398,279050,181239,0.9983414132745329,22.810201557128597,1.5396796495235572,14.814900985531017,1.2090951442393836,12.252882708292374,43428,23.961730091205535,5674349.850022332,435645,357976,226713,1.238285166784225,25.028780220024135,1.5789831196270174,15.851201896278889,1.2169670592441952,13.025169231879929,56093,24.74185423861887,2925248.6999999643,386130.51999999996,3751468.829999954,485679.3599999998,510448.98999999935,20709,36306,42684,1363460.9700000018,52893,90154,106690
0004400005348,NBSC RTZ HS CRK  CHS SS,11.4 OZ,CKIE/CRACKER MLTI PK/SNGL SRV,N,232919.8899999176,43468,40305,29364,0.16174938760086616,7.932158084726795,1.3725991009399265,5.778932886736573,1.0784766158044907,5.358422057603699,4880,16.618989238523362,243339.82999992132,44367,40852,30663,0.16747843338981308,7.935943319307351,1.3322897302938395,5.956619749337151,1.0860422990306473,5.484703270446984,4716,15.380099794540653,161680.13000000018,42264.17000000002,158425.6900000002,49146.69000000001,19929.59999999994,1911,3362,3633,28847.369999999988,3283,4701,5256
0026958440000,SHRMPCKD8/12TONFZ  RW SC,1 RW,SEAFOOD - SHRIMP,N,187668.4400000001,13070,12935,8604,0.0473944874989052,21.811766620176673,1.5033705253370526,14.508576729802867,1.010436799381523,14.358717674062746,1717,19.95583449558345,"","","","","","","","","","","","",108289.32999999989,8491.389999999998,"","",466.8,6,8,13,"","","",""
0002840020060,LAYS SALT  VINEGAR CHIPS,7.75 OZ,BAG SNACKS,N,"","","","","","","","","","","","",2994867.880002526,1173496,1072432,598735,3.2702344785457957,5.001992333841392,1.7911630353996342,2.7925946633469776,1.0942381428379608,2.552090403378048,187649,31.34091041946771,"","",1811584.7199999508,831568.2699999908,"","","","",241601.7199999999,38548,78235,91607
0001299322103,LACROIX MANGO SPRKL 8PK,8/12 FO,SPARKLING WATER,N,1000935.239999493,315081,278137,156946,0.8645252481407689,6.377577255868216,1.7721827889847463,3.5987130083357948,1.1328266286038895,3.1767553105375854,43667,27.8229454716909,"","","","","","","","","","","","",679847.2699999973,112787.99999999996,"","",75043.70999999996,9283,19478,23090,"","","",""
0061124736764,NWMN OWN  KCUP SPC BLND,32 CT,COFFEE,Y,1096366.859999736,63645,59347,24962,0.13750130136537328,43.92143498116081,2.3774937905616538,18.473837936201257,1.0724215208856387,17.226284232849967,8429,33.76732633603077,1107227.7799997428,65713,60359,24824,0.13558636240644165,44.60311714468832,2.431477602320335,18.34403784025154,1.0887025961331367,16.84944805441454,8810,35.48984853367709,790726.8599999975,"",765450.7499999978,89679.11999999998,48940.1399999997,906,2576,2806,100631.37000000595,2026,5370,6008
0001111090412,KRO ULTRA STRONG 12 MR,12 ROLL,BATH TISSUE,N,3551932.10001602,369488,345831,217883,1.2001921338591308,16.302015760825856,1.587232597311401,10.270716332590252,1.0684062446686386,9.61311896466467,56815,26.07592148079474,"","","","","","","","","","","","",2438065.6999999606,1240158.2699999872,"","",123335.13000000024,7280,12044,13088,"","","",""
0001111096344,KRO CK SHRMP 16/25CT JMBO,1 LB,SEAFOOD - SHRIMP,N,1388027.3399991626,125205,106647,82353,0.4536353125287471,16.854605660985786,1.2949983607154567,13.015155981876308,1.1740133337084024,11.08603761829929,12902,15.666703095212075,1749430.1299989587,150739,128137,100482,0.5488232705174053,17.41038325271152,1.275223423100655,13.652810117288205,1.1763893332917112,11.60569016643973,15178,15.105192969885154,866119.9099999956,289358.50999999995,1033198.8899999936,388120.4500000003,50491.390000000174,2484,3660,4555,170327.79000000024,9168,12949,15391
